,regulator,gene_name,gene_id,effect,ev_level,source
0,AccB,accB,b3255,-,0.0,RegulonDB_TF
1,MarA,ygiB,b3037,+,0.0,RegulonDB_TF
2,MarA,ygiC,b3038,+,0.0,RegulonDB_TF
3,MarA,yncE,b1452,+,0.0,RegulonDB_TF
4,MetJ,ahpC,b0605,-,0.0,RegulonDB_TF
5,MetJ,ahpF,b0606,-,0.0,RegulonDB_TF
6,MetJ,metB,b3939,-,0.0,RegulonDB_TF
7,MetJ,metI,b0198,-,0.0,RegulonDB_TF
8,MetJ,metK,b2942,-,0.0,RegulonDB_TF
9,MetJ,metL,b3940,-,0.0,RegulonDB_TF
10,MetJ,metN,b0199,-,0.0,RegulonDB_TF
11,MetJ,metQ,b0197,-,0.0,RegulonDB_TF
12,MarA,waaZ,b3624,+,0.0,RegulonDB_TF
13,MetR,metH,b4019,+,0.0,RegulonDB_TF
14,Mlc,manX,b1817,-,0.0,RegulonDB_TF
15,Mlc,manY,b1818,-,0.0,RegulonDB_TF
16,Mlc,manZ,b1819,-,0.0,RegulonDB_TF
17,Mlc,mlc,b1594,-,0.0,RegulonDB_TF
18,Mlc,ynfK,b1593,-,0.0,RegulonDB_TF
19,MntR,dps,b0812,-,0.0,RegulonDB_TF
20,MntR,mntP,b1821,+,0.0,RegulonDB_TF
21,MntR,mntS,b4705,-,0.0,RegulonDB_TF
22,MntR,rybA,b4416,-,0.0,RegulonDB_TF
23,ModE,oppA,b1243,-,0.0,RegulonDB_TF
24,ModE,oppB,b1244,-,0.0,RegulonDB_TF
25,Mlc,malT,b3418,-,0.0,RegulonDB_TF
26,ModE,oppC,b1245,-,0.0,RegulonDB_TF
27,MarA,waaY,b3625,+,0.0,RegulonDB_TF
28,MarA,slp,b3506,-,0.0,RegulonDB_TF
29,Lrp,rrlD,b3275,-,0.0,RegulonDB_TF
30,Lrp,rrlE,b4009,-,0.0,RegulonDB_TF
31,Lrp,rrlG,b2589,-,0.0,RegulonDB_TF
32,Lrp,rrlH,b0204,-,0.0,RegulonDB_TF
33,Lrp,rrsD,b3278,-,0.0,RegulonDB_TF
34,Lrp,rrsE,b4007,-,0.0,RegulonDB_TF
35,Lrp,rrsG,b2591,-,0.0,RegulonDB_TF
36,Lrp,rrsH,b0201,-,0.0,RegulonDB_TF
37,Lrp,sdaA,b1814,-,0.0,RegulonDB_TF
38,Lrp,thrV,b3273,-,0.0,RegulonDB_TF
39,Lrp,yeiL,b2163,+,0.0,RegulonDB_TF
40,MarA,tolC,b3035,+,0.0,RegulonDB_TF
41,Lrp,yhiD,b3508,-,0.0,RegulonDB_TF
42,LysR,lysA,b2838,+,0.0,RegulonDB_TF
43,LysR,lysR,b2839,-,0.0,RegulonDB_TF
44,MalT,malS,b3571,+,0.0,RegulonDB_TF
45,MalT,malZ,b0403,+,0.0,RegulonDB_TF
46,MarA,acrZ,b0762,+,0.0,RegulonDB_TF
47,MarA,aldA,b1415,+,0.0,RegulonDB_TF
48,MarA,dctR,b3507,-,0.0,RegulonDB_TF
49,MarA,decR,b0447,+,0.0,RegulonDB_TF
50,MarA,nfo,b2159,+,0.0,RegulonDB_TF
51,MarA,poxB,b0871,+,0.0,RegulonDB_TF
52,MarA,putA,b1014,+,0.0,RegulonDB_TF
53,Lrp,yojI,b2211,+,0.0,RegulonDB_TF
54,ModE,oppD,b1246,-,0.0,RegulonDB_TF
55,ModE,oppF,b1247,-,0.0,RegulonDB_TF
56,MprA,acrA,b0463,-,0.0,RegulonDB_TF
57,NagC,dinI,b1061,-,0.0,RegulonDB_TF
58,NagC,feoA,b3408,?,0.0,RegulonDB_TF
59,NagC,feoB,b3409,?,0.0,RegulonDB_TF
60,NagC,feoC,b3410,?,0.0,RegulonDB_TF
61,NagC,manX,b1817,-,0.0,RegulonDB_TF
62,NagC,manY,b1818,-,0.0,RegulonDB_TF
63,NagC,manZ,b1819,-,0.0,RegulonDB_TF
64,NagC,ptsH,b2415,-,0.0,RegulonDB_TF
65,NagC,ptsI,b2416,-,0.0,RegulonDB_TF
66,NagC,ydeM,b1497,-,0.0,RegulonDB_TF
67,NagC,ydeN,b1498,-,0.0,RegulonDB_TF
68,NagC,crr,b2417,-,0.0,RegulonDB_TF
69,NagC,ydeP,b1501,-,0.0,RegulonDB_TF
70,NarL,caiF,b0034,-,0.0,RegulonDB_TF
71,NarL,citC,b0618,-,0.0,RegulonDB_TF
72,NarL,citD,b0617,-,0.0,RegulonDB_TF
73,NarL,citE,b0616,-,0.0,RegulonDB_TF
74,NarL,citF,b0615,-,0.0,RegulonDB_TF
75,NarL,citG,b0613,-,0.0,RegulonDB_TF
76,NarL,citX,b0614,-,0.0,RegulonDB_TF
77,NarL,cydC,b0886,+,0.0,RegulonDB_TF
78,NarL,cydD,b0887,+,0.0,RegulonDB_TF
79,NarL,dcuB,b4123,-,0.0,RegulonDB_TF
80,NarL,dpiA,b0620,-,0.0,RegulonDB_TF
81,NarL,adhE,b1241,-,0.0,RegulonDB_TF
82,NagC,creD,b4400,-,0.0,RegulonDB_TF
83,NagC,creC,b4399,-,0.0,RegulonDB_TF
84,NagC,creB,b4398,-,0.0,RegulonDB_TF
85,MprA,acrB,b0462,-,0.0,RegulonDB_TF
86,MprA,nmpC,b0553,-,0.0,RegulonDB_TF
87,MurR,murR,b2427,?,0.0,RegulonDB_TF
88,Nac,asnC,b3743,-,0.0,RegulonDB_TF
89,Nac,feaR,b1384,+,0.0,RegulonDB_TF
90,Nac,fecA,b4291,?,0.0,RegulonDB_TF
91,Nac,fecB,b4290,?,0.0,RegulonDB_TF
